shipment_id,transit_days,origin_weather_severity,dest_weather_severity,origin_nlp_risk,is_delayed,delay_days,origin_Dubai Port,origin_Los Angeles Port,origin_Mumbai Port,origin_Rotterdam Port,origin_Shanghai Port,origin_Singapore Port,destination_Dubai Port,destination_Los Angeles Port,destination_Mumbai Port,destination_Rotterdam Port,destination_Shanghai Port,destination_Singapore Port,item_Auto Parts,item_Electronics,item_Machinery,item_Pharmaceuticals,item_Textiles
SHP10028,12,0,0,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
SHP10029,25,4,3,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10030,23,0,7,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
SHP10031,30,3,0,0.9996029734611512,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10032,17,0,4,0.1,1,4,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
SHP10033,28,3,1,0.998903512954712,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10034,11,0,1,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10035,25,0,4,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10036,17,0,3,0.988454520702362,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SHP10037,23,0,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10038,30,4,0,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10039,13,0,0,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10040,23,0,3,0.1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
SHP10041,27,10,3,0.1,1,4,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10042,17,1,0,0.1,1,4,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False
SHP10043,11,4,3,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
SHP10044,19,3,0,0.1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
SHP10045,16,10,0,0.999671220779419,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
SHP10046,20,7,1,0.1,1,13,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10047,15,4,0,0.9990503191947936,1,8,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SHP10048,29,0,3,0.1,1,3,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10049,17,0,1,0.1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
SHP10050,28,3,0,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10051,20,4,0,0.9914842247962952,0,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SHP10052,20,0,3,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10053,28,3,0,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10054,18,0,0,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10055,19,0,0,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10056,26,0,0,0.1,1,7,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
SHP10057,18,0,3,0.1,1,5,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10058,19,0,4,0.9995662569999696,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10059,30,0,1,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
SHP10060,12,3,0,0.9996029734611512,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
SHP10061,14,3,1,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
SHP10062,23,4,0,0.1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10063,11,10,0,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10064,14,0,0,0.1,1,1,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10065,17,1,10,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
SHP10066,14,4,3,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10067,10,0,4,0.1,1,2,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
SHP10068,15,4,1,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
SHP10069,17,3,0,0.1,1,6,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10070,17,0,0,0.9991770386695862,1,13,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10071,12,3,1,0.1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
SHP10072,27,4,0,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SHP10073,28,3,3,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10074,23,0,0,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
SHP10075,13,0,1,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
SHP10076,23,0,1,0.9996029734611512,1,4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10077,12,0,4,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10078,13,0,0,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10079,23,4,4,0.9914842247962952,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10080,16,4,4,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
SHP10081,19,4,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
SHP10082,23,4,3,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
SHP10083,24,3,0,0.1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
SHP10084,12,4,0,0.1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SHP10085,17,1,0,0.1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
SHP10086,11,4,3,0.1,1,3,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
SHP10087,23,0,1,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10088,22,4,3,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10089,17,0,3,0.9990315437316896,1,5,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
SHP10090,27,4,4,0.1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
SHP10091,26,3,1,0.1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False
SHP10092,26,0,0,0.9990503191947936,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
SHP10093,24,0,0,0.1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SHP10094,30,4,1,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
SHP10095,18,4,0,0.9991770386695862,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
SHP10096,17,1,3,0.9845608472824096,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10097,23,0,1,0.1,1,3,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
SHP10098,23,10,0,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10099,25,3,10,0.1,1,3,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
SHP10100,27,7,1,0.9898629188537598,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
SHP10101,17,0,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10102,22,0,3,0.1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
SHP10103,10,0,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
SHP10104,30,1,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10105,22,1,1,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10106,18,1,0,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10107,10,1,0,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10108,12,0,4,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SHP10109,16,1,0,0.9539816975593568,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
SHP10110,25,0,4,0.9845608472824096,0,0,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10111,18,1,3,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10112,15,0,7,0.1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SHP10113,28,3,10,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10114,28,0,0,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
SHP10115,19,4,3,0.1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
SHP10116,21,10,4,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
SHP10117,30,3,4,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHP10118,21,0,0,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10119,26,0,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10120,24,0,1,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10121,17,3,0,0.1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True
SHP10122,24,10,4,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
SHP10123,25,1,0,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
SHP10124,18,0,3,0.1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
SHP10125,26,4,1,0.1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
SHP10126,27,4,3,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
SHP10127,10,4,1,0.1,1,4,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
SHP10128,28,1,0,0.9996067881584167,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
SHP10129,27,3,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10130,18,4,3,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
SHP10131,27,0,4,0.1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
SHP10132,25,1,4,0.9710808396339417,0,0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
SHP10133,13,4,4,0.9919968247413636,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10134,19,0,0,0.1,1,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10135,11,0,1,0.9996029734611512,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10136,10,0,0,0.1,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
SHP10137,15,3,4,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
SHP10138,22,1,1,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10139,28,0,4,0.9845608472824096,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10140,23,7,0,0.989282488822937,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10141,24,3,3,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
SHP10142,28,7,10,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10143,16,10,4,0.9750776886940002,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10144,27,1,4,0.1,1,8,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
SHP10145,29,0,0,0.1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
SHP10146,19,0,4,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10147,30,4,0,0.1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10148,17,1,4,0.9990297555923462,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
SHP10149,15,1,1,0.1,0,0,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10150,13,3,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10151,27,3,1,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
SHP10152,20,0,0,0.9995187520980836,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10153,28,0,3,0.1,0,0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
SHP10154,15,3,0,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SHP10155,28,3,4,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
SHP10156,23,4,0,0.1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False
SHP10157,23,4,3,0.1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
SHP10158,24,3,1,0.1,1,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
SHP10159,26,4,0,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
SHP10160,11,3,7,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10161,24,4,1,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10162,19,1,4,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
SHP10163,30,1,7,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
SHP10164,10,0,4,0.9990297555923462,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
SHP10165,13,3,0,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10166,18,0,4,0.1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True
SHP10167,27,0,0,0.1,0,0,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
SHP10168,12,1,10,0.1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
SHP10169,10,4,1,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
SHP10170,25,0,4,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10171,20,4,0,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10172,16,0,0,0.9990503191947936,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
SHP10173,23,3,0,0.1,1,1,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
SHP10174,30,3,10,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
SHP10175,28,1,7,0.1,0,0,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
SHP10176,24,1,3,0.1,1,5,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10177,25,0,0,0.1,0,0,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
SHP10178,22,0,0,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
SHP10179,30,10,0,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10180,12,3,3,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10181,23,0,1,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
SHP10182,19,10,4,0.9996131062507628,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
SHP10183,21,3,0,0.1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False
SHP10184,28,4,0,0.1,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
SHP10185,29,0,1,0.1,0,0,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
SHP10186,14,4,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10187,10,1,4,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
SHP10188,12,0,0,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
SHP10189,23,1,0,0.1,0,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10190,25,1,4,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
SHP10191,19,4,10,0.1,0,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10192,10,4,3,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
SHP10193,19,1,0,0.1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False
SHP10194,30,0,0,0.1,0,0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
SHP10195,30,4,4,0.1,1,8,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10196,14,0,0,0.1,1,5,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
SHP10197,16,3,10,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
SHP10198,18,4,0,0.1,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
SHP10199,13,4,0,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
SHP10200,22,0,0,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
SHP10201,10,3,0,0.9996029734611512,0,0,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10202,18,0,1,0.1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
SHP10203,17,1,0,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHP10204,17,0,3,0.9990503191947936,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10205,23,3,0,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
SHP10206,13,4,10,0.1,1,4,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
SHP10207,21,4,3,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10208,14,3,0,0.1,0,0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False
SHP10209,23,10,0,0.991252601146698,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
SHP10210,24,0,1,0.1,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
SHP10211,21,4,10,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
SHP10212,18,3,4,0.1,1,3,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHP10213,16,0,0,0.1,0,0,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10214,17,7,1,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
SHP10215,16,1,4,0.1,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
SHP10216,10,0,3,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
SHP10217,15,3,0,0.1,1,3,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
SHP10218,17,1,0,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False
SHP10219,14,3,0,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10220,24,0,1,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
SHP10221,26,4,1,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
SHP10222,24,1,0,0.1,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
SHP10223,23,3,1,0.989282488822937,0,0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
SHP10224,20,7,0,0.9895437955856324,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
SHP10225,30,10,3,0.9995187520980836,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
SHP10226,26,4,1,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
SHP10227,13,4,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
SHP10228,24,0,0,0.9990315437316896,0,0,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
SHP10229,23,4,4,0.1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
SHP10230,18,0,1,0.9914842247962952,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
SHP10231,12,1,1,0.1,1,10,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
SHP10232,11,7,7,0.989282488822937,0,0,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
SHP10233,13,4,4,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
SHP10234,29,1,4,0.1,0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
SHP10235,14,4,7,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10236,21,0,0,0.1,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
SHP10237,27,4,0,0.9898629188537598,0,0,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10238,29,0,0,0.1,0,0,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
SHP10239,18,3,0,0.1,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
SHP10240,15,4,10,0.1,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
SHP10241,30,0,10,0.1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
SHP10242,23,3,1,0.1,0,0,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False
SHP10243,28,4,1,0.1,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
SHP10244,11,3,1,0.1,0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
SHP10245,29,0,1,0.1,0,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
