shipment_id,origin,destination,item,dispatch_date,planned_eta,actual_arrival,delay_days,is_delayed
SHP10024,Shanghai Port,Singapore Port,Electronics,2023-11-17,2023-12-06,2023-12-06,0,0
SHP10025,Dubai Port,Singapore Port,Auto Parts,2023-03-20,2023-04-10,2023-04-10,0,0
SHP10026,Dubai Port,Singapore Port,Electronics,2023-11-03,2023-11-23,2023-11-23,0,0
SHP10027,Mumbai Port,Rotterdam Port,Textiles,2023-05-03,2023-05-14,2023-05-14,0,0
SHP10028,Dubai Port,Mumbai Port,Electronics,2023-09-06,2023-09-18,2023-09-18,0,0
SHP10029,Dubai Port,Shanghai Port,Auto Parts,2023-12-04,2023-12-29,2023-12-29,0,0
SHP10030,Shanghai Port,Rotterdam Port,Machinery,2023-11-07,2023-11-30,2023-11-30,0,0
SHP10031,Dubai Port,Shanghai Port,Textiles,2023-07-24,2023-08-23,2023-08-23,0,0
SHP10032,Dubai Port,Rotterdam Port,Electronics,2023-05-07,2023-05-24,2023-05-28,4,1
SHP10033,Mumbai Port,Singapore Port,Machinery,2023-04-28,2023-05-26,2023-05-26,0,0
SHP10034,Mumbai Port,Shanghai Port,Auto Parts,2023-02-04,2023-02-15,2023-02-15,0,0
SHP10035,Mumbai Port,Singapore Port,Auto Parts,2023-05-23,2023-06-17,2023-06-17,0,0
SHP10036,Shanghai Port,Singapore Port,Machinery,2023-08-31,2023-09-17,2023-09-17,0,0
SHP10037,Rotterdam Port,Shanghai Port,Electronics,2023-02-19,2023-03-14,2023-03-14,0,0
SHP10038,Rotterdam Port,Dubai Port,Electronics,2023-12-11,2024-01-10,2024-01-10,0,0
SHP10039,Mumbai Port,Shanghai Port,Pharmaceuticals,2023-06-23,2023-07-06,2023-07-06,0,0
SHP10040,Shanghai Port,Singapore Port,Pharmaceuticals,2023-03-13,2023-04-05,2023-04-05,0,0
SHP10041,Rotterdam Port,Shanghai Port,Electronics,2023-08-15,2023-09-11,2023-09-15,4,1
SHP10042,Singapore Port,Dubai Port,Electronics,2023-02-17,2023-03-06,2023-03-10,4,1
SHP10043,Rotterdam Port,Dubai Port,Auto Parts,2023-07-25,2023-08-05,2023-08-05,0,0
SHP10044,Mumbai Port,Dubai Port,Textiles,2023-08-21,2023-09-09,2023-09-09,0,0
SHP10045,Singapore Port,Dubai Port,Pharmaceuticals,2023-03-21,2023-04-06,2023-04-06,0,0
SHP10046,Mumbai Port,Singapore Port,Machinery,2023-02-01,2023-02-21,2023-03-06,13,1
SHP10047,Dubai Port,Rotterdam Port,Machinery,2023-09-29,2023-10-14,2023-10-22,8,1
SHP10048,Dubai Port,Mumbai Port,Auto Parts,2023-02-05,2023-03-06,2023-03-09,3,1
SHP10049,Shanghai Port,Dubai Port,Electronics,2023-10-19,2023-11-05,2023-11-05,0,0
SHP10050,Mumbai Port,Singapore Port,Electronics,2023-08-03,2023-08-31,2023-08-31,0,0
SHP10051,Los Angeles Port,Rotterdam Port,Auto Parts,2023-12-09,2023-12-29,2023-12-29,0,0
SHP10052,Rotterdam Port,Shanghai Port,Textiles,2023-08-23,2023-09-12,2023-09-12,0,0
SHP10053,Mumbai Port,Shanghai Port,Pharmaceuticals,2023-11-15,2023-12-13,2023-12-13,0,0
SHP10054,Mumbai Port,Singapore Port,Auto Parts,2023-09-17,2023-10-05,2023-10-05,0,0
SHP10055,Los Angeles Port,Mumbai Port,Auto Parts,2023-07-09,2023-07-28,2023-07-28,0,0
SHP10056,Dubai Port,Los Angeles Port,Machinery,2023-12-01,2023-12-27,2024-01-03,7,1
SHP10057,Dubai Port,Los Angeles Port,Electronics,2023-03-10,2023-03-28,2023-04-02,5,1
SHP10058,Mumbai Port,Singapore Port,Auto Parts,2023-05-20,2023-06-08,2023-06-08,0,0
SHP10059,Singapore Port,Los Angeles Port,Auto Parts,2023-12-18,2024-01-17,2024-01-17,0,0
SHP10060,Dubai Port,Rotterdam Port,Textiles,2023-01-27,2023-02-08,2023-02-08,0,0
SHP10061,Los Angeles Port,Mumbai Port,Electronics,2023-06-20,2023-07-04,2023-07-04,0,0
SHP10062,Los Angeles Port,Shanghai Port,Pharmaceuticals,2023-10-10,2023-11-02,2023-11-02,0,0
SHP10063,Mumbai Port,Shanghai Port,Auto Parts,2023-10-07,2023-10-18,2023-10-18,0,0
SHP10064,Dubai Port,Singapore Port,Auto Parts,2023-08-09,2023-08-23,2023-08-24,1,1
SHP10065,Los Angeles Port,Mumbai Port,Textiles,2023-04-18,2023-05-05,2023-05-05,0,0
SHP10066,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-11-14,2023-11-28,2023-11-28,0,0
SHP10067,Shanghai Port,Los Angeles Port,Auto Parts,2023-07-31,2023-08-10,2023-08-12,2,1
SHP10068,Los Angeles Port,Dubai Port,Auto Parts,2023-05-17,2023-06-01,2023-06-01,0,0
SHP10069,Mumbai Port,Dubai Port,Electronics,2023-08-29,2023-09-15,2023-09-21,6,1
SHP10070,Rotterdam Port,Los Angeles Port,Textiles,2023-04-27,2023-05-14,2023-05-27,13,1
SHP10071,Shanghai Port,Dubai Port,Textiles,2023-05-23,2023-06-04,2023-06-04,0,0
SHP10072,Los Angeles Port,Rotterdam Port,Machinery,2023-07-24,2023-08-20,2023-08-20,0,0
SHP10073,Mumbai Port,Shanghai Port,Textiles,2023-04-02,2023-04-30,2023-04-30,0,0
SHP10074,Los Angeles Port,Mumbai Port,Electronics,2023-11-02,2023-11-25,2023-11-25,0,0
SHP10075,Los Angeles Port,Dubai Port,Machinery,2023-09-19,2023-10-02,2023-10-02,0,0
SHP10076,Dubai Port,Shanghai Port,Textiles,2023-01-23,2023-02-15,2023-02-19,4,1
SHP10077,Dubai Port,Shanghai Port,Textiles,2023-08-09,2023-08-21,2023-08-21,0,0
SHP10078,Los Angeles Port,Singapore Port,Textiles,2023-12-06,2023-12-19,2023-12-19,0,0
SHP10079,Los Angeles Port,Singapore Port,Textiles,2023-12-08,2023-12-31,2023-12-31,0,0
SHP10080,Singapore Port,Los Angeles Port,Machinery,2023-03-07,2023-03-23,2023-03-23,0,0
SHP10081,Rotterdam Port,Shanghai Port,Machinery,2023-10-19,2023-11-07,2023-11-07,0,0
SHP10082,Mumbai Port,Rotterdam Port,Textiles,2023-04-18,2023-05-11,2023-05-11,0,0
SHP10083,Dubai Port,Los Angeles Port,Pharmaceuticals,2023-08-15,2023-09-08,2023-09-08,0,0
SHP10084,Dubai Port,Rotterdam Port,Auto Parts,2023-12-04,2023-12-16,2023-12-16,0,0
SHP10085,Singapore Port,Dubai Port,Textiles,2023-02-17,2023-03-06,2023-03-06,0,0
SHP10086,Shanghai Port,Los Angeles Port,Auto Parts,2023-01-13,2023-01-24,2023-01-27,3,1
SHP10087,Rotterdam Port,Singapore Port,Electronics,2023-08-22,2023-09-14,2023-09-14,0,0
SHP10088,Dubai Port,Shanghai Port,Pharmaceuticals,2023-09-11,2023-10-03,2023-10-03,0,0
SHP10089,Singapore Port,Mumbai Port,Electronics,2023-08-06,2023-08-23,2023-08-28,5,1
SHP10090,Singapore Port,Dubai Port,Pharmaceuticals,2023-01-26,2023-02-22,2023-02-22,0,0
SHP10091,Mumbai Port,Dubai Port,Auto Parts,2023-08-26,2023-09-21,2023-09-21,0,0
SHP10092,Dubai Port,Los Angeles Port,Pharmaceuticals,2023-11-10,2023-12-06,2023-12-06,0,0
SHP10093,Dubai Port,Rotterdam Port,Auto Parts,2023-09-01,2023-09-25,2023-09-25,0,0
SHP10094,Shanghai Port,Rotterdam Port,Machinery,2023-09-06,2023-10-06,2023-10-06,0,0
SHP10095,Rotterdam Port,Mumbai Port,Textiles,2023-05-01,2023-05-19,2023-05-19,0,0
SHP10096,Dubai Port,Mumbai Port,Auto Parts,2023-03-19,2023-04-05,2023-04-05,0,0
SHP10097,Shanghai Port,Los Angeles Port,Electronics,2023-08-01,2023-08-24,2023-08-27,3,1
SHP10098,Rotterdam Port,Dubai Port,Electronics,2023-04-16,2023-05-09,2023-05-09,0,0
SHP10099,Dubai Port,Mumbai Port,Machinery,2023-07-14,2023-08-08,2023-08-11,3,1
SHP10100,Los Angeles Port,Rotterdam Port,Pharmaceuticals,2023-08-03,2023-08-30,2023-08-30,0,0
SHP10101,Dubai Port,Singapore Port,Auto Parts,2023-09-07,2023-09-24,2023-09-24,0,0
SHP10102,Rotterdam Port,Mumbai Port,Pharmaceuticals,2023-06-22,2023-07-14,2023-07-14,0,0
SHP10103,Rotterdam Port,Shanghai Port,Machinery,2023-10-01,2023-10-11,2023-10-11,0,0
SHP10104,Dubai Port,Singapore Port,Electronics,2023-02-12,2023-03-14,2023-03-14,0,0
SHP10105,Rotterdam Port,Shanghai Port,Electronics,2023-05-14,2023-06-05,2023-06-05,0,0
SHP10106,Rotterdam Port,Los Angeles Port,Textiles,2023-07-14,2023-08-01,2023-08-01,0,0
SHP10107,Rotterdam Port,Los Angeles Port,Electronics,2023-08-29,2023-09-08,2023-09-08,0,0
SHP10108,Mumbai Port,Rotterdam Port,Auto Parts,2023-11-29,2023-12-11,2023-12-11,0,0
SHP10109,Singapore Port,Mumbai Port,Electronics,2023-05-07,2023-05-23,2023-05-23,0,0
SHP10110,Dubai Port,Shanghai Port,Auto Parts,2023-03-06,2023-03-31,2023-03-31,0,0
SHP10111,Dubai Port,Shanghai Port,Pharmaceuticals,2023-12-25,2024-01-12,2024-01-12,0,0
SHP10112,Shanghai Port,Singapore Port,Machinery,2023-02-28,2023-03-15,2023-03-15,0,0
SHP10113,Mumbai Port,Singapore Port,Electronics,2023-06-09,2023-07-07,2023-07-07,0,0
SHP10114,Rotterdam Port,Dubai Port,Auto Parts,2023-02-08,2023-03-08,2023-03-08,0,0
SHP10115,Singapore Port,Shanghai Port,Electronics,2023-12-23,2024-01-11,2024-01-11,0,0
SHP10116,Dubai Port,Mumbai Port,Machinery,2023-01-22,2023-02-12,2023-02-12,0,0
SHP10117,Singapore Port,Los Angeles Port,Electronics,2023-09-17,2023-10-17,2023-10-17,0,0
SHP10118,Rotterdam Port,Dubai Port,Electronics,2023-08-10,2023-08-31,2023-08-31,0,0
SHP10119,Rotterdam Port,Shanghai Port,Pharmaceuticals,2023-04-01,2023-04-27,2023-04-27,0,0
SHP10120,Los Angeles Port,Singapore Port,Machinery,2023-09-05,2023-09-29,2023-09-29,0,0
SHP10121,Singapore Port,Dubai Port,Textiles,2023-06-15,2023-07-02,2023-07-02,0,0
SHP10122,Mumbai Port,Rotterdam Port,Pharmaceuticals,2023-05-05,2023-05-29,2023-05-29,0,0
SHP10123,Singapore Port,Rotterdam Port,Textiles,2023-01-15,2023-02-09,2023-02-09,0,0
SHP10124,Shanghai Port,Dubai Port,Auto Parts,2023-07-01,2023-07-19,2023-07-19,0,0
SHP10125,Dubai Port,Los Angeles Port,Machinery,2023-01-06,2023-02-01,2023-02-01,0,0
SHP10126,Mumbai Port,Los Angeles Port,Pharmaceuticals,2023-09-08,2023-10-05,2023-10-05,0,0
SHP10127,Singapore Port,Rotterdam Port,Pharmaceuticals,2023-08-18,2023-08-28,2023-09-01,4,1
SHP10128,Shanghai Port,Dubai Port,Auto Parts,2023-06-06,2023-07-04,2023-07-04,0,0
SHP10129,Dubai Port,Singapore Port,Textiles,2023-08-06,2023-09-02,2023-09-02,0,0
SHP10130,Singapore Port,Rotterdam Port,Textiles,2023-06-06,2023-06-24,2023-06-24,0,0
SHP10131,Singapore Port,Shanghai Port,Textiles,2023-03-03,2023-03-30,2023-03-30,0,0
SHP10132,Singapore Port,Shanghai Port,Auto Parts,2023-04-21,2023-05-16,2023-05-16,0,0
SHP10133,Dubai Port,Singapore Port,Machinery,2023-05-25,2023-06-07,2023-06-07,0,0
SHP10134,Los Angeles Port,Shanghai Port,Textiles,2023-04-02,2023-04-21,2023-04-22,1,1
SHP10135,Dubai Port,Shanghai Port,Textiles,2023-01-24,2023-02-04,2023-02-04,0,0
SHP10136,Singapore Port,Shanghai Port,Pharmaceuticals,2023-02-22,2023-03-04,2023-03-04,0,0
SHP10137,Rotterdam Port,Dubai Port,Pharmaceuticals,2023-06-24,2023-07-09,2023-07-09,0,0
SHP10138,Los Angeles Port,Dubai Port,Electronics,2023-02-03,2023-02-25,2023-02-25,0,0
SHP10139,Dubai Port,Mumbai Port,Auto Parts,2023-03-18,2023-04-15,2023-04-15,0,0
SHP10140,Mumbai Port,Los Angeles Port,Electronics,2023-10-13,2023-11-05,2023-11-05,0,0
SHP10141,Dubai Port,Shanghai Port,Machinery,2023-07-14,2023-08-07,2023-08-07,0,0
SHP10142,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-06-06,2023-07-04,2023-07-04,0,0
SHP10143,Dubai Port,Mumbai Port,Auto Parts,2023-11-17,2023-12-03,2023-12-03,0,0
SHP10144,Mumbai Port,Los Angeles Port,Auto Parts,2023-03-30,2023-04-26,2023-05-04,8,1
SHP10145,Mumbai Port,Dubai Port,Pharmaceuticals,2023-12-19,2024-01-17,2024-01-17,0,0
SHP10146,Mumbai Port,Los Angeles Port,Textiles,2023-12-28,2024-01-16,2024-01-16,0,0
SHP10147,Rotterdam Port,Mumbai Port,Auto Parts,2023-05-16,2023-06-15,2023-06-15,0,0
SHP10148,Shanghai Port,Dubai Port,Electronics,2023-10-06,2023-10-23,2023-10-23,0,0
SHP10149,Los Angeles Port,Shanghai Port,Electronics,2023-01-31,2023-02-15,2023-02-15,0,0
SHP10150,Dubai Port,Singapore Port,Textiles,2023-08-13,2023-08-26,2023-08-26,0,0
SHP10151,Los Angeles Port,Dubai Port,Textiles,2023-09-14,2023-10-11,2023-10-11,0,0
SHP10152,Mumbai Port,Singapore Port,Electronics,2023-08-10,2023-08-30,2023-08-30,0,0
SHP10153,Mumbai Port,Shanghai Port,Auto Parts,2023-12-12,2024-01-09,2024-01-09,0,0
SHP10154,Mumbai Port,Rotterdam Port,Machinery,2023-01-21,2023-02-05,2023-02-05,0,0
SHP10155,Singapore Port,Rotterdam Port,Textiles,2023-04-03,2023-05-01,2023-05-01,0,0
SHP10156,Rotterdam Port,Mumbai Port,Pharmaceuticals,2023-06-28,2023-07-21,2023-07-21,0,0
SHP10157,Singapore Port,Mumbai Port,Auto Parts,2023-06-18,2023-07-11,2023-07-11,0,0
SHP10158,Los Angeles Port,Dubai Port,Machinery,2023-01-19,2023-02-12,2023-02-13,1,1
SHP10159,Los Angeles Port,Rotterdam Port,Electronics,2023-07-26,2023-08-21,2023-08-21,0,0
SHP10160,Mumbai Port,Singapore Port,Pharmaceuticals,2023-07-31,2023-08-11,2023-08-11,0,0
SHP10161,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-11-17,2023-12-11,2023-12-11,0,0
SHP10162,Shanghai Port,Rotterdam Port,Machinery,2023-03-09,2023-03-28,2023-03-28,0,0
SHP10163,Singapore Port,Rotterdam Port,Electronics,2023-01-15,2023-02-14,2023-02-14,0,0
SHP10164,Shanghai Port,Los Angeles Port,Textiles,2023-10-10,2023-10-20,2023-10-20,0,0
SHP10165,Mumbai Port,Los Angeles Port,Electronics,2023-08-25,2023-09-07,2023-09-07,0,0
SHP10166,Shanghai Port,Dubai Port,Textiles,2023-09-18,2023-10-06,2023-10-06,0,0
SHP10167,Rotterdam Port,Dubai Port,Auto Parts,2023-08-22,2023-09-18,2023-09-18,0,0
SHP10168,Shanghai Port,Singapore Port,Machinery,2023-03-11,2023-03-23,2023-03-23,0,0
SHP10169,Rotterdam Port,Los Angeles Port,Machinery,2023-05-17,2023-05-27,2023-05-27,0,0
SHP10170,Los Angeles Port,Singapore Port,Machinery,2023-12-04,2023-12-29,2023-12-29,0,0
SHP10171,Rotterdam Port,Singapore Port,Pharmaceuticals,2023-06-26,2023-07-16,2023-07-16,0,0
SHP10172,Dubai Port,Rotterdam Port,Pharmaceuticals,2023-06-14,2023-06-30,2023-06-30,0,0
SHP10173,Shanghai Port,Singapore Port,Pharmaceuticals,2023-04-30,2023-05-23,2023-05-24,1,1
SHP10174,Singapore Port,Rotterdam Port,Pharmaceuticals,2023-07-17,2023-08-16,2023-08-16,0,0
SHP10175,Rotterdam Port,Mumbai Port,Auto Parts,2023-09-15,2023-10-13,2023-10-13,0,0
SHP10176,Mumbai Port,Dubai Port,Electronics,2023-09-27,2023-10-21,2023-10-26,5,1
SHP10177,Shanghai Port,Dubai Port,Auto Parts,2023-02-08,2023-03-05,2023-03-05,0,0
SHP10178,Los Angeles Port,Rotterdam Port,Machinery,2023-12-21,2024-01-12,2024-01-12,0,0
SHP10179,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-06-12,2023-07-12,2023-07-12,0,0
SHP10180,Rotterdam Port,Singapore Port,Electronics,2023-11-13,2023-11-25,2023-11-25,0,0
SHP10181,Singapore Port,Los Angeles Port,Auto Parts,2023-02-16,2023-03-11,2023-03-11,0,0
SHP10182,Singapore Port,Mumbai Port,Pharmaceuticals,2023-03-27,2023-04-15,2023-04-15,0,0
SHP10183,Mumbai Port,Rotterdam Port,Electronics,2023-05-31,2023-06-21,2023-06-21,0,0
SHP10184,Shanghai Port,Los Angeles Port,Machinery,2023-07-30,2023-08-27,2023-08-27,0,0
SHP10185,Shanghai Port,Los Angeles Port,Auto Parts,2023-02-10,2023-03-11,2023-03-11,0,0
SHP10186,Dubai Port,Shanghai Port,Pharmaceuticals,2023-10-26,2023-11-09,2023-11-09,0,0
SHP10187,Singapore Port,Los Angeles Port,Pharmaceuticals,2023-05-11,2023-05-21,2023-05-21,0,0
SHP10188,Rotterdam Port,Los Angeles Port,Machinery,2023-03-22,2023-04-03,2023-04-03,0,0
SHP10189,Los Angeles Port,Singapore Port,Textiles,2023-11-24,2023-12-17,2023-12-17,0,0
SHP10190,Rotterdam Port,Los Angeles Port,Auto Parts,2023-07-16,2023-08-10,2023-08-10,0,0
SHP10191,Rotterdam Port,Singapore Port,Textiles,2023-10-22,2023-11-10,2023-11-10,0,0
SHP10192,Los Angeles Port,Mumbai Port,Pharmaceuticals,2023-05-21,2023-05-31,2023-05-31,0,0
SHP10193,Singapore Port,Mumbai Port,Machinery,2023-09-12,2023-10-01,2023-10-01,0,0
SHP10194,Shanghai Port,Singapore Port,Textiles,2023-04-23,2023-05-23,2023-05-23,0,0
SHP10195,Los Angeles Port,Shanghai Port,Electronics,2023-11-18,2023-12-18,2023-12-26,8,1
SHP10196,Rotterdam Port,Mumbai Port,Machinery,2023-07-06,2023-07-20,2023-07-25,5,1
SHP10197,Los Angeles Port,Rotterdam Port,Pharmaceuticals,2023-03-31,2023-04-16,2023-04-16,0,0
SHP10198,Dubai Port,Los Angeles Port,Machinery,2023-09-14,2023-10-02,2023-10-02,0,0
SHP10199,Los Angeles Port,Dubai Port,Textiles,2023-06-23,2023-07-06,2023-07-06,0,0
SHP10200,Mumbai Port,Los Angeles Port,Auto Parts,2023-12-13,2024-01-04,2024-01-04,0,0
SHP10201,Dubai Port,Los Angeles Port,Electronics,2023-07-22,2023-08-01,2023-08-01,0,0
SHP10202,Mumbai Port,Dubai Port,Textiles,2023-12-11,2023-12-29,2023-12-29,0,0
SHP10203,Singapore Port,Los Angeles Port,Electronics,2023-12-12,2023-12-29,2023-12-29,0,0
SHP10204,Dubai Port,Singapore Port,Textiles,2023-11-09,2023-11-26,2023-11-26,0,0
SHP10205,Singapore Port,Rotterdam Port,Textiles,2023-11-29,2023-12-22,2023-12-22,0,0
SHP10206,Mumbai Port,Shanghai Port,Textiles,2023-09-10,2023-09-23,2023-09-27,4,1
SHP10207,Dubai Port,Shanghai Port,Pharmaceuticals,2023-08-21,2023-09-11,2023-09-11,0,0
SHP10208,Singapore Port,Dubai Port,Pharmaceuticals,2023-10-28,2023-11-11,2023-11-11,0,0
SHP10209,Singapore Port,Mumbai Port,Pharmaceuticals,2023-11-12,2023-12-05,2023-12-05,0,0
SHP10210,Los Angeles Port,Mumbai Port,Textiles,2023-04-22,2023-05-16,2023-05-16,0,0
SHP10211,Shanghai Port,Rotterdam Port,Electronics,2023-12-18,2024-01-08,2024-01-08,0,0
SHP10212,Singapore Port,Los Angeles Port,Electronics,2023-07-23,2023-08-10,2023-08-13,3,1
SHP10213,Mumbai Port,Dubai Port,Electronics,2023-12-06,2023-12-22,2023-12-22,0,0
SHP10214,Dubai Port,Mumbai Port,Electronics,2023-06-20,2023-07-07,2023-07-07,0,0
SHP10215,Dubai Port,Shanghai Port,Electronics,2023-10-11,2023-10-27,2023-10-27,0,0
SHP10216,Shanghai Port,Rotterdam Port,Auto Parts,2023-11-02,2023-11-12,2023-11-12,0,0
SHP10217,Shanghai Port,Los Angeles Port,Machinery,2023-05-09,2023-05-24,2023-05-27,3,1
SHP10218,Mumbai Port,Los Angeles Port,Electronics,2023-07-03,2023-07-20,2023-07-20,0,0
SHP10219,Mumbai Port,Los Angeles Port,Textiles,2023-01-27,2023-02-10,2023-02-10,0,0
SHP10220,Dubai Port,Mumbai Port,Electronics,2023-09-01,2023-09-25,2023-09-25,0,0
SHP10221,Dubai Port,Singapore Port,Electronics,2023-08-20,2023-09-15,2023-09-15,0,0
SHP10222,Dubai Port,Mumbai Port,Machinery,2023-06-04,2023-06-28,2023-06-28,0,0
SHP10223,Mumbai Port,Shanghai Port,Pharmaceuticals,2023-07-25,2023-08-17,2023-08-17,0,0
SHP10224,Rotterdam Port,Dubai Port,Electronics,2023-02-11,2023-03-03,2023-03-03,0,0
SHP10225,Mumbai Port,Los Angeles Port,Textiles,2023-11-16,2023-12-16,2023-12-16,0,0
SHP10226,Singapore Port,Los Angeles Port,Pharmaceuticals,2023-11-02,2023-11-28,2023-11-28,0,0
SHP10227,Dubai Port,Singapore Port,Pharmaceuticals,2023-02-20,2023-03-05,2023-03-05,0,0
SHP10228,Singapore Port,Dubai Port,Auto Parts,2023-08-09,2023-09-02,2023-09-02,0,0
SHP10229,Rotterdam Port,Los Angeles Port,Pharmaceuticals,2023-07-24,2023-08-16,2023-08-16,0,0
SHP10230,Los Angeles Port,Dubai Port,Textiles,2023-12-07,2023-12-25,2023-12-25,0,0
SHP10231,Shanghai Port,Dubai Port,Electronics,2023-02-16,2023-02-28,2023-03-10,10,1
SHP10232,Mumbai Port,Rotterdam Port,Auto Parts,2023-10-12,2023-10-23,2023-10-23,0,0
SHP10233,Dubai Port,Singapore Port,Textiles,2023-12-10,2023-12-23,2023-12-23,0,0
SHP10234,Singapore Port,Rotterdam Port,Electronics,2023-05-28,2023-06-26,2023-06-26,0,0
SHP10235,Mumbai Port,Singapore Port,Machinery,2023-04-19,2023-05-03,2023-05-03,0,0
SHP10236,Shanghai Port,Mumbai Port,Textiles,2023-10-12,2023-11-02,2023-11-02,0,0
SHP10237,Los Angeles Port,Singapore Port,Auto Parts,2023-08-08,2023-09-04,2023-09-04,0,0
SHP10238,Dubai Port,Singapore Port,Machinery,2023-01-14,2023-02-12,2023-02-12,0,0
SHP10239,Singapore Port,Los Angeles Port,Electronics,2023-04-03,2023-04-21,2023-04-21,0,0
SHP10240,Los Angeles Port,Rotterdam Port,Textiles,2023-01-04,2023-01-19,2023-01-19,0,0
SHP10241,Dubai Port,Rotterdam Port,Electronics,2023-03-14,2023-04-13,2023-04-13,0,0
SHP10242,Mumbai Port,Singapore Port,Auto Parts,2023-07-12,2023-08-04,2023-08-04,0,0
SHP10243,Shanghai Port,Rotterdam Port,Textiles,2023-06-16,2023-07-14,2023-07-14,0,0
SHP10244,Mumbai Port,Los Angeles Port,Auto Parts,2023-11-13,2023-11-24,2023-11-24,0,0
SHP10245,Los Angeles Port,Dubai Port,Pharmaceuticals,2023-09-06,2023-10-05,2023-10-05,0,0
SHP10246,Los Angeles Port,Shanghai Port,Machinery,2023-02-28,2023-03-21,2023-03-21,0,0
SHP10247,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-09-27,2023-10-16,2023-10-22,6,1
SHP10248,Rotterdam Port,Singapore Port,Electronics,2023-01-04,2023-01-20,2023-01-20,0,0
SHP10249,Shanghai Port,Los Angeles Port,Textiles,2023-05-29,2023-06-18,2023-06-21,3,1
SHP10250,Rotterdam Port,Dubai Port,Auto Parts,2023-03-08,2023-03-30,2023-03-30,0,0
SHP10251,Shanghai Port,Singapore Port,Machinery,2023-12-09,2023-12-30,2024-01-01,2,1
SHP10252,Singapore Port,Mumbai Port,Pharmaceuticals,2023-01-10,2023-02-03,2023-02-03,0,0
SHP10253,Los Angeles Port,Singapore Port,Pharmaceuticals,2023-10-21,2023-11-12,2023-11-12,0,0
SHP10254,Rotterdam Port,Los Angeles Port,Electronics,2023-07-27,2023-08-06,2023-08-06,0,0
SHP10255,Shanghai Port,Singapore Port,Pharmaceuticals,2023-12-20,2024-01-10,2024-01-17,7,1
SHP10256,Mumbai Port,Los Angeles Port,Pharmaceuticals,2023-10-29,2023-11-20,2023-11-20,0,0
SHP10257,Rotterdam Port,Los Angeles Port,Textiles,2023-04-24,2023-05-14,2023-05-14,0,0
SHP10258,Mumbai Port,Singapore Port,Electronics,2023-09-29,2023-10-25,2023-11-04,10,1
SHP10259,Los Angeles Port,Rotterdam Port,Auto Parts,2023-05-01,2023-05-14,2023-05-14,0,0
